"AUDTYL50.Code.or.Value","AUDTYL50.Value.Description","AUDTYL50.Count","AUDTYL50.Cumulative","AUDTYL50.Skip.to.Item"
"0 to 4.06","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
