"RIDRETH3.Code.or.Value","RIDRETH3.Value.Description","RIDRETH3.Count","RIDRETH3.Cumulative","RIDRETH3.Skip.to.Item"
"1","Mexican American",48,48,NA
"2","Other Hispanic",35,83,NA
"3","Non-Hispanic White",79,162,NA
"4","Non-Hispanic Black",58,220,NA
"6","Non-Hispanic Asian",30,250,NA
"7","Other Race, Including Multiracial",15,265,NA
".","Missing",0,265,NA
