"RFXT008.Code.or.Value","RFXT008.Value.Description","RFXT008.Count","RFXT008.Cumulative","RFXT008.Skip.to.Item"
"53 to 62","Range of Values",51075,51075,NA
".","Missing",1,51076,NA
