"SMQ725.Code.or.Value","SMQ725.Value.Description","SMQ725.Count","SMQ725.Cumulative","SMQ725.Skip.to.Item"
"1","Today",851,851,NA
"2","Yesterday",252,1103,NA
"3","3 to 5 days ago",81,1184,NA
"7","Refused",0,1184,NA
"9","Don't know",0,1184,NA
".","Missing",5796,6980,NA
