"BMDAVSAD.Code.or.Value","BMDAVSAD.Value.Description","BMDAVSAD.Count","BMDAVSAD.Cumulative","BMDAVSAD.Skip.to.Item"
"9.6 to 40.8","Range of Values",6983,6983,NA
".","Missing",2561,9544,NA
