"PFQ061G.Code.or.Value","PFQ061G.Value.Description","PFQ061G.Count","PFQ061G.Cumulative","PFQ061G.Skip.to.Item"
"1","No difficulty",2087,2087,NA
"2","Some difficulty",188,2275,NA
"3","Much difficulty",56,2331,NA
"4","Unable to do",63,2394,NA
"5","Do not do this activity",174,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
