"DR1ISFAT.Code.or.Value","DR1ISFAT.Value.Description","DR1ISFAT.Count","DR1ISFAT.Cumulative","DR1ISFAT.Skip.to.Item"
"0 to 86.055","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
