"AUXRR215.Code.or.Value","AUXRR215.Value.Description","AUXRR215.Count","AUXRR215.Cumulative","AUXRR215.Skip.to.Item"
"-41 to 48","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
