"LBDSELSI.Code.or.Value","LBDSELSI.Value.Description","LBDSELSI.Count","LBDSELSI.Cumulative","LBDSELSI.Skip.to.Item"
"0.6 to 4","Range of Values",2903,2903,NA
".","Missing",4661,7564,NA
