"CBQ505.Code.or.Value","CBQ505.Value.Description","CBQ505.Count","CBQ505.Cumulative","CBQ505.Skip.to.Item"
"1","Yes",5282,5282,""
"2","No",1044,6326,"CBQ550"
"7","Refused",0,6326,""
"9","Don't know",1,6327,""
".","Missing",3644,9971,""
