"URDDPMLC.Code.or.Value","URDDPMLC.Value.Description","URDDPMLC.Count","URDDPMLC.Cumulative","URDDPMLC.Skip.to.Item"
"0","At or above the detection limit",5,5,NA
"1","Below lower detection limit",2461,2466,NA
".","Missing",85,2551,NA
