"LBDPFNAL.Code.or.Value","LBDPFNAL.Value.Description","LBDPFNAL.Count","LBDPFNAL.Cumulative","LBDPFNAL.Skip.to.Item"
"0","At or above the detection limit",2090,2090,NA
"1","Below lower detection limit",10,2100,NA
".","Missing",194,2294,NA
