"URDPM3LC.Code.or.Value","URDPM3LC.Value.Description","URDPM3LC.Count","URDPM3LC.Cumulative","URDPM3LC.Skip.to.Item"
"0","At or above the detection limit",2419,2419,NA
"1","Below lower detection limit",596,3015,NA
".","Missing",264,3279,NA
