"TYXA143.Code.or.Value","TYXA143.Value.Description","TYXA143.Count","TYXA143.Cumulative","TYXA143.Skip.to.Item"
"0.09 to 6.592","Range of Values",7038,7038,NA
".","Missing",1431,8469,NA
