"AUXRR211.Code.or.Value","AUXRR211.Value.Description","AUXRR211.Count","AUXRR211.Cumulative","AUXRR211.Skip.to.Item"
"-13 to 102","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
