"LBDACRLC.Code.or.Value","LBDACRLC.Value.Description","LBDACRLC.Count","LBDACRLC.Cumulative","LBDACRLC.Skip.to.Item"
"0","detectable",7795,7795,NA
"1","below detectable limit",62,7857,NA
".","Missing",896,8753,NA
