"KIQ201.Code.or.Value","KIQ201.Value.Description","KIQ201.Count","KIQ201.Cumulative","KIQ201.Skip.to.Item"
"1","Yes",63,63,""
"2","No",1405,1468,"End of Section"
"7","Refused",0,1468,"End of Section"
"9","Don't know",1,1469,"End of Section"
".","Missing",132,1601,""
