"URXP07.Code.or.Value","URXP07.Value.Description","URXP07.Count","URXP07.Cumulative","URXP07.Skip.to.Item"
"3.5 to 4540.8","Range of Values",2572,2572,NA
".","Missing",146,2718,NA
