"CIQG10.Code.or.Value","CIQG10.Value.Description","CIQG10.Count","CIQG10.Cumulative","CIQG10.Skip.to.Item"
"1","All Day Long",2,2,NA
"2","Most of the Day",5,7,NA
"3","About Half",9,16,NA
"4","Less than Half",8,24,NA
"7","Refused",0,24,NA
"9","Don't know",0,24,NA
".","Missing",904,928,NA
