"DS2AN.Code.or.Value","DS2AN.Value.Description","DS2AN.Count","DS2AN.Cumulative","DS2AN.Skip.to.Item"
"1","Yes",171,171,NA
"2","No",8217,8388,NA
"7","Refused",0,8388,NA
"9","Don't know",0,8388,NA
".","Missing",1865,10253,NA
