"OSQ020a.Code.or.Value","OSQ020a.Value.Description","OSQ020a.Count","OSQ020a.Cumulative","OSQ020a.Skip.to.Item"
"1","1",68,68,""
"2","2",7,75,""
"3","3",2,77,""
"7777","Refused",0,77,"OSQ010b"
"9999","Don't know",0,77,"OSQ010b"
".","Missing",2992,3069,""
