"DXXAAC8.Code.or.Value","DXXAAC8.Value.Description","DXXAAC8.Count","DXXAAC8.Cumulative","DXXAAC8.Skip.to.Item"
"0 to 8","Range of Values",3140,3140,NA
".","Missing",568,3708,NA
