"DS2IIRON.Code.or.Value","DS2IIRON.Value.Description","DS2IIRON.Count","DS2IIRON.Cumulative","DS2IIRON.Skip.to.Item"
"0.017 to 500","Range of Values",912,912,NA
".","Missing",4787,5699,NA
