"AUXLR139.Code.or.Value","AUXLR139.Value.Description","AUXLR139.Count","AUXLR139.Cumulative","AUXLR139.Skip.to.Item"
"-79 to 60","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
