"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"21.1 to 528.2","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
