"OHD27LAM.Code.or.Value","OHD27LAM.Value.Description","OHD27LAM.Count","OHD27LAM.Cumulative","OHD27LAM.Skip.to.Item"
"0 to 10","Range of Values",2677,2677,NA
"99","Calculation cannot be determined",132,2809,NA
".","Missing",4321,7130,NA
