"URXCEM.Code.or.Value","URXCEM.Value.Description","URXCEM.Count","URXCEM.Cumulative","URXCEM.Skip.to.Item"
"4.92 to 3230","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
