"LB2CBCSI.Code.or.Value","LB2CBCSI.Value.Description","LB2CBCSI.Count","LB2CBCSI.Cumulative","LB2CBCSI.Skip.to.Item"
"0.009 to 0.129","Range of Values",545,545,NA
".","Missing",6,551,NA
