"HIQ105.Code.or.Value","HIQ105.Value.Description","HIQ105.Count","HIQ105.Cumulative","HIQ105.Skip.to.Item"
"1","Yes",806,806,NA
"2","No",80,886,NA
".","Missing",9462,10348,NA
