"WTSPH19.Code.or.Value","WTSPH19.Value.Description","WTSPH19.Count","WTSPH19.Cumulative","WTSPH19.Skip.to.Item"
"0 to 806797.8028","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
