"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",1106,1106,NA
"2","Monday",1291,2397,NA
"3","Tuesday",1085,3482,NA
"4","Wednesday",1035,4517,NA
"5","Thursday",542,5059,NA
"6","Friday",463,5522,NA
"7","Saturday",177,5699,NA
".","Missing",0,5699,NA
