"DS2ISELE.Code.or.Value","DS2ISELE.Value.Description","DS2ISELE.Count","DS2ISELE.Cumulative","DS2ISELE.Skip.to.Item"
"1 to 600","Range of Values",838,838,NA
".","Missing",4760,5598,NA
