"CIQP13M.Code.or.Value","CIQP13M.Value.Description","CIQP13M.Count","CIQP13M.Cumulative","CIQP13M.Skip.to.Item"
"1","Yes",40,40,NA
"2","No",78,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
