"PFQ054.Code.or.Value","PFQ054.Value.Description","PFQ054.Count","PFQ054.Cumulative","PFQ054.Skip.to.Item"
"1","Yes",584,584,NA
"2","No",5350,5934,NA
"7","Refused",0,5934,NA
"9","Don't know",1,5935,NA
".","Missing",3731,9666,NA
