"SXQ624.Code.or.Value","SXQ624.Value.Description","SXQ624.Count","SXQ624.Cumulative","SXQ624.Skip.to.Item"
"1 to 1000","Range of Values",1338,1338,NA
"77777","Refused",4,1342,NA
"99999","Don't know",1,1343,NA
".","Missing",3453,4796,NA
