"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",87736,87736,NA
"2","Spanish",11642,99378,NA
"3","English and Spanish",579,99957,NA
"4","Other",17,99974,NA
"5","Asian Languages",599,100573,NA
"6","Asian Languages and English",107,100680,NA
".","Missing",0,100680,NA
