"ENXTR3Q.Code.or.Value","ENXTR3Q.Value.Description","ENXTR3Q.Count","ENXTR3Q.Cumulative","ENXTR3Q.Skip.to.Item"
"5 to 215","Range of Values",1891,1891,NA
".","Missing",5852,7743,NA
