"AUXLR121.Code.or.Value","AUXLR121.Value.Description","AUXLR121.Count","AUXLR121.Cumulative","AUXLR121.Skip.to.Item"
"-32 to 49","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
