"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 110","Range of Values",1671,1671,NA
"666","No response",4,1675,NA
"888","Could not obtain",0,1675,NA
".","Missing",132,1807,NA
