"WTSPH48.Code.or.Value","WTSPH48.Value.Description","WTSPH48.Count","WTSPH48.Cumulative","WTSPH48.Skip.to.Item"
"0 to 785023.73178","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
