"URXECP.Code.or.Value","URXECP.Value.Description","URXECP.Count","URXECP.Cumulative","URXECP.Skip.to.Item"
"0.14 to 1548.4","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
