"CIQP64.Code.or.Value","CIQP64.Value.Description","CIQP64.Count","CIQP64.Cumulative","CIQP64.Skip.to.Item"
"0 to 100","Range of Values",33,33,NA
"777","Refused",0,33,NA
"999","Don't know",0,33,NA
".","Missing",895,928,NA
