"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"8 to 282","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
