"DXXPT29X.Code.or.Value","DXXPT29X.Value.Description","DXXPT29X.Count","DXXPT29X.Cumulative","DXXPT29X.Skip.to.Item"
"24.5 to 485.1","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
