"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.2 to 57.1","Range of Values",7970,7970,NA
".","Missing",862,8832,NA
