"BIXC035K.Code.or.Value","BIXC035K.Value.Description","BIXC035K.Count","BIXC035K.Cumulative","BIXC035K.Skip.to.Item"
"30.04 to 221.93","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
