"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"708.63828227 to 374736.26978","Range of Values",120871,120871,NA
".","Missing",0,120871,NA
