"URDFLOW1.Code.or.Value","URDFLOW1.Value.Description","URDFLOW1.Count","URDFLOW1.Cumulative","URDFLOW1.Skip.to.Item"
"0 to 26","Range of Values",7150,7150,NA
".","Missing",1141,8291,NA
