"DRXFCSD.Code.or.Value","DRXFCSD.Value.Description","DRXFCSD.Count","DRXFCSD.Cumulative","DRXFCSD.Skip.to.Item"
"Short Food Code Description","Value was recorded",6921,6921,NA
"","",0,6921,NA
