"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 60","Range of Values",627,627,NA
"0","None",13,640,NA
"7777","Refused",0,640,NA
"9999","Don't know",3,643,NA
".","Missing",8932,9575,NA
