"AUQ040.Code.or.Value","AUQ040.Value.Description","AUQ040.Count","AUQ040.Cumulative","AUQ040.Skip.to.Item"
"1 to 24","Range of Values",146,146,NA
"77","SP refused",0,146,NA
"99","Don't know",0,146,NA
".","Missing",1743,1889,NA
