"URXGNS.Code.or.Value","URXGNS.Value.Description","URXGNS.Count","URXGNS.Cumulative","URXGNS.Skip.to.Item"
"0.2 to 25700","Range of Values",2594,2594,NA
".","Missing",103,2697,NA
