"SSHMFG.Code.or.Value","SSHMFG.Value.Description","SSHMFG.Count","SSHMFG.Cumulative","SSHMFG.Skip.to.Item"
"11.3 to 37100","Range of Values",2226,2226,NA
".","Missing",753,2979,NA
