"AUXLR173.Code.or.Value","AUXLR173.Value.Description","AUXLR173.Count","AUXLR173.Cumulative","AUXLR173.Skip.to.Item"
"-20 to 60","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
