"URXCYM.Code.or.Value","URXCYM.Value.Description","URXCYM.Count","URXCYM.Cumulative","URXCYM.Skip.to.Item"
"0.354 to 1480","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
