"LBXFOL.Code.or.Value","LBXFOL.Value.Description","LBXFOL.Count","LBXFOL.Cumulative","LBXFOL.Skip.to.Item"
"1.1 to 275","Range of Values",8386,8386,NA
".","Missing",1543,9929,NA
