"DR1TS160.Code.or.Value","DR1TS160.Value.Description","DR1TS160.Count","DR1TS160.Cumulative","DR1TS160.Skip.to.Item"
"0.059 to 83.914","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
