"LBXP1.Code.or.Value","LBXP1.Value.Description","LBXP1.Count","LBXP1.Cumulative","LBXP1.Skip.to.Item"
"0.1 to 72.54","Range of Values",1317,1317,NA
"0.07","At or below detection limit fill value",4,1321,NA
".","Missing",160,1481,NA
