"DX2TRA.Code.or.Value","DX2TRA.Value.Description","DX2TRA.Count","DX2TRA.Cumulative","DX2TRA.Skip.to.Item"
"412.11 to 924.54","Range of Values",443,443,NA
".","Missing",42,485,NA
