"DXXPT73X.Code.or.Value","DXXPT73X.Value.Description","DXXPT73X.Count","DXXPT73X.Cumulative","DXXPT73X.Skip.to.Item"
"486.2 to 1073","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
