"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"4 to 749","Range of Values",2755,2755,NA
".","Missing",64,2819,NA
