"DS2TFIBE.Code.or.Value","DS2TFIBE.Value.Description","DS2TFIBE.Count","DS2TFIBE.Cumulative","DS2TFIBE.Skip.to.Item"
"0.1 to 36","Range of Values",163,163,NA
".","Missing",9599,9762,NA
