"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 19.576","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
