"DXXIAX.Code.or.Value","DXXIAX.Value.Description","DXXIAX.Count","DXXIAX.Cumulative","DXXIAX.Skip.to.Item"
"400.5 to 995.9","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
